sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新港,嘉義縣,21,,良好,1.4,0.14,22.7,13.6,15,5,5.8,6.8,1,1.1,196,"2024/06/24 06:00:00",0.1,6.5,18,1,120.345531,23.554839,39
朴子,嘉義縣,20,,良好,1.5,0.14,11,10.2,22,6,6.1,7.4,1.3,1,172,"2024/06/24 06:00:00",0.1,4.1,20,1,120.2478,23.46538,40
臺西,雲林縣,17,,良好,1,0.15,11.3,11,16,4,4.2,5.3,1,2.4,191,"2024/06/24 06:00:00",0.1,3.4,17,1,120.19933333,23.702175,41
嘉義,嘉義市,20,,良好,0.8,0.13,8.7,10.8,14,8,5.3,6.9,1.6,1,101,"2024/06/24 06:00:00",0.1,6.1,15,1,120.44125148,23.46477865,42
新營,臺南市,14,,良好,0.7,0.14,10.4,12.5,17,1,3.3,4.6,1.3,1.3,187,"2024/06/24 06:00:00",0.1,1,14,0,120.31725,23.305633,43
善化,臺南市,24,,良好,0.4,0.11,9.5,9.8,17,9,2.8,4,1.2,1.1,170,"2024/06/24 06:00:00",0,7.3,14,0,120.29740529,23.11337642,44
安南,臺南市,15,,良好,0.3,0.18,12.7,13.5,14,2,4.8,6.1,1.3,2,116,"2024/06/24 06:00:00",0.1,4.7,12,0,120.2175,23.048197,45
臺南,臺南市,15,,良好,0,0.11,11.2,12.7,11,5,5.4,5.6,0.2,1.9,167,"2024/06/24 06:00:00",0.1,4.6,12,0,120.21947897,22.98928311,46
美濃,高雄市,20,,良好,0.1,0.15,9.3,8.9,19,7,2.4,3.6,1.1,1.2,71,"2024/06/24 06:00:00",0.1,6.1,14,0,120.530542,22.883583,47
橋頭,高雄市,19,,良好,1,0.11,5.7,5.5,14,4,8.5,10.3,1.7,1.9,76,"2024/06/24 06:00:00",0.1,5.7,14,1,120.305689,22.757506,48
仁武,高雄市,17,,良好,2.4,0.11,10.8,10,9,6,5.9,7.8,1.9,1.5,91,"2024/06/24 06:00:00",0.1,5.2,12,1,120.332631,22.689056,49
鳳山,高雄市,13,,良好,2.2,0.16,6.3,10.1,12,2,7.6,8.7,1,0.4,68,"2024/06/24 06:00:00",0.1,1.8,13,2,120.357422,22.628126,50
大寮,高雄市,15,,良好,0.7,0.11,4.2,7.6,16,1,6.2,7.8,1.6,1,74,"2024/06/24 06:00:00",0,2.1,15,0,120.425311,22.56413611,51
林園,高雄市,32,,良好,0.9,0.33,16.3,17.3,45,3,3.1,4,0.9,2.4,129,"2024/06/24 06:00:00",0.3,4.4,32,0,120.41175,22.4795,52
楠梓,高雄市,25,,良好,4.6,0.16,4.4,4.8,17,7,12.2,17.1,4.8,0.9,67,"2024/06/24 06:00:00",0.1,7.6,18,2,120.328289,22.733667,53
左營,高雄市,27,,良好,2.1,0.17,7.1,12.8,16,10,8.6,9.3,0.6,2.1,86,"2024/06/24 06:00:00",0.1,8.3,15,1,120.292917,22.674861,54
前金,高雄市,20,,良好,1.6,0.11,10.6,13.7,10,4,12.3,12.9,0.5,1,106,"2024/06/24 06:00:00",0.1,5.4,11,0,120.28676111,22.63390278,56
